Epoch,Train Loss,Validation Loss
1,0.2212109299861405,0.08137164832580657
2,0.039739656274857586,0.02735022170143941
3,0.026801834739829715,0.03341513860320288
4,0.021268030853950542,0.02343209698382351
5,0.01760442693904893,0.02070166618518886
6,0.0165327879808605,0.024086010671915518
7,0.01738943283756574,0.020426721090362185
8,0.014472359819040043,0.02736028845584582
9,0.014432741907429478,0.014252941907634811
10,0.013081030100456451,0.015412612788615719
11,0.01258145483820933,0.015634296495201334
12,0.012858271935835617,0.01906745894885962
13,0.00976148707453017,0.01748629828308901
14,0.010013452362158596,0.02015853226037016
15,0.00979702692685147,0.015532531350525835
16,0.00807916513935463,0.020663953349289912
17,0.007546334463643701,0.01586619900569083
18,0.008613523062622626,0.016865879367475235
19,0.007872045128372366,0.015312755373232657
20,0.007083094746861011,0.020636473353656513
21,0.007070285303211988,0.016954959747159763
22,0.0070083631286567685,0.015364563768906962
23,0.005304801193029794,0.015786123465717075
24,0.008930341495821873,0.025479886547795365
25,0.005066266909856179,0.014552312967781391
26,0.004057029359729442,0.01373199197197599
27,0.004770704875987227,0.018979264171941887
28,0.00389136901506984,0.0162407533738703
29,0.008621735780044847,0.015808505601146154
30,0.00562258589094224,0.013391061957615117
31,0.003834228149081525,0.016598172500611297
32,0.003327859553655176,0.015161958205262347
33,0.003845427644047801,0.014205606286561796
34,0.0031738605333777085,0.013752631750696945
35,0.0030274390536424232,0.019501401466273126
36,0.003333204912795732,0.014111056072001775
37,0.005133707535327689,0.014799455927300548
38,0.005266231972167107,0.01951298921088141
39,0.004330239445290031,0.016589518810164124
40,0.0027881587436103757,0.015034108108560007
41,0.0027381582549756145,0.014419200905923924
42,0.0020157862442692306,0.015248945629638102
43,0.0018786256407285493,0.013131600168962327
44,0.0032242124439876307,0.014385276200575016
45,0.005715898841993722,0.019401817286889705
46,0.003676706152121838,0.013223059516074874
47,0.002468306039136805,0.013533287974525361
48,0.002505913585186277,0.015089267598731177
49,0.0019335276930971437,0.013238531286044726
50,0.0018939013482862446,0.014751082881250314
51,0.0021477875163668095,0.018747805384919047
52,0.004096168623099606,0.01664780877486226
53,0.004179166995901104,0.012736029723393065
54,0.004883967708375254,0.01720006337818054
55,0.0035208017436668413,0.012903715238078602
56,0.0017580709793045691,0.01410028219429983
57,0.00156721925670196,0.013543976570612617
58,0.0026159233240342643,0.019045300715203797
59,0.0038527431788845795,0.01154507052648576
60,0.0026816353931455325,0.015918422797103485
61,0.0018205702828177459,0.01309139807782476
62,0.0012522217615339565,0.013614869325436534
63,0.002267838556337549,0.01460170318808643
