0.00927763,0.01206380,0.00514513,0.01985471,-0.01725580,
0.00965788,0.01338795,0.00636095,0.01175840,-0.00831785,
0.01019683,0.01275184,0.00765527,0.00338344,0.00046713,
0.01083920,0.01425668,0.00904669,0.00378331,0.00013592,
0.01147975,0.01384184,0.00964099,0.00406539,0.00021846,
0.01215827,0.01524716,0.01035659,0.00453844,0.00054328,
0.01294316,0.01516667,0.01119062,0.00549685,0.00100025,
0.01391424,0.01674885,0.01214941,0.00693308,0.00147899,
0.01522063,0.01725577,0.01325360,0.00849355,0.00132581,
0.01681388,0.01909557,0.01450055,0.00982929,0.00084352,
0.01853707,0.01993370,0.01586193,0.01091429,0.00083503,
0.02042709,0.02176061,0.01725655,0.01179847,0.00079200,
0.02252170,0.02308121,0.01852225,0.01222057,0.00006208,
0.02462771,0.02493583,0.01950379,0.01146865,-0.00114463,
0.02655701,0.02655701,0.02008767,0.00858863,-0.00334057,
0.02786043,0.02802701,0.02015892,0.00332218,-0.00575011,
0.02787761,0.02914095,0.01961972,-0.00341228,-0.00608786,
0.02662929,0.02926053,0.01841146,-0.01022257,-0.00526363,
0.02437587,0.02974898,0.01650206,-0.01623763,-0.00472730,
0.02113961,0.02903089,0.01396555,-0.02133040,-0.00387853,
0.01712966,0.02899650,0.01102542,-0.02550738,-0.00299507,
0.01254509,0.02758879,0.00790708,-0.02831086,-0.00195269,
0.00746301,0.02696530,0.00479653,-0.02870307,0.00079442,
0.00249541,0.02449771,0.00186772,-0.02608591,0.00394867,
-0.00152372,0.02294787,-0.00076764,-0.02124214,0.00476958,
-0.00455408,0.02029635,-0.00301430,-0.01584986,0.00430984,
-0.00672964,0.01881944,-0.00476107,-0.01129466,0.00346829,
-0.00814854,0.01655793,-0.00597836,-0.00786171,0.00216499,
-0.00922393,0.01550188,-0.00673999,-0.00504803,0.00209135,
-0.00992150,0.01367609,-0.00712619,-0.00230969,0.00263136,
-0.01000471,0.01244090,-0.00721535,0.00032794,0.00205593,
-0.00967744,0.01082139,-0.00705966,0.00237005,0.00122740,
-0.00914005,0.00976027,-0.00663544,0.00364480,0.00084069,
-0.00841611,0.00854125,-0.00594493,0.00460466,0.00063412,
-0.00762124,0.00763428,-0.00504744,0.00598287,0.00135551,
-0.00659160,0.00671952,-0.00402143,0.00803923,0.00233090,
-0.00498170,0.00540621,-0.00299174,0.01016664,0.00166776,
-0.00301642,0.00411466,-0.00207820,0.01112610,0.00004519,
-0.00102978,0.00229544,-0.00135348,0.00973757,-0.00213954,
0.00058259,0.00105900,-0.00092067,0.00592232,-0.00450045,
0.00115686,0.00186465,-0.00092353,0.00079246,-0.00472937,
0.00071926,0.00329148,-0.00144968,-0.00437692,-0.00377505,
-0.00037399,0.00522064,-0.00252620,-0.00914992,-0.00390172,
-0.00226348,0.00692045,-0.00405198,-0.01363352,-0.00388908,
-0.00501033,0.00907259,-0.00573567,-0.01743542,-0.00266905,
-0.00827793,0.01093594,-0.00727621,-0.01919635,-0.00063223,
-0.01179495,0.01308462,-0.00840201,-0.01706698,0.00353631,
-0.01467520,0.01481247,-0.00895358,-0.01029331,0.00826172,
-0.01568004,0.01588139,-0.00903799,0.00015203,0.00993188,
-0.01468616,0.01640778,-0.00863728,0.01094405,0.00897820,
-0.01163197,0.01599147,-0.00738456,0.01673255,0.00252803,
-0.00777922,0.01452123,-0.00531855,0.01619284,-0.00532653,
